condition,N_train,mean_mean_nmi,std_mean_nmi,mean_p95_nmi,std_p95_nmi,mean_max_nmi,std_max_nmi,mean_Hy_bits
real,10000,0.0002513207623510587,1.9053170603155936e-05,0.000701566659058477,8.187319777584406e-05,0.0011789732883277523,0.00017072594888944,0.8354268172915482
real,30000,8.691236156546771e-05,6.747861370170758e-06,0.0002224122380394362,1.8031562515594808e-05,0.0004173532952811156,7.913003402719343e-05,0.8365078113227847
real,100000,2.6584845282577574e-05,2.016969239791961e-06,7.019569678406803e-05,6.681221958330206e-06,0.000110980453111436,1.0368234141137969e-05,0.8360082193312325
real,300000,8.976551356181548e-06,7.88667313331575e-07,2.229543072130743e-05,2.081636657585928e-06,4.0224153055780696e-05,6.141611197581852e-06,0.8360055146411857
real,850000,3.132759023657066e-06,0.0,8.94565179517952e-06,0.0,1.1049744239498631e-05,0.0,0.8365623226143994
shuffle_y,10000,0.00025904000658779323,6.569074419172159e-07,0.0006665764917006036,5.0889081413312114e-05,0.0010881080039293453,0.0001357502683263083,0.8354268172915482
shuffle_y,30000,8.524492712131142e-05,1.018035621325519e-06,0.00021794729280517314,1.0757001755264608e-05,0.0004338927813755113,9.538073178865735e-05,0.8365078113227847
shuffle_y,100000,2.4773259275183356e-05,9.146125989307551e-07,6.441900686497497e-05,2.0802168145429945e-06,0.00011425044989224573,3.093848768587985e-06,0.8360082193312325
shuffle_y,300000,8.643878913171989e-06,4.4823992759461337e-07,2.442449241568655e-05,7.364666517138666e-07,3.860123832034086e-05,5.269662216147823e-06,0.8360055146411857
shuffle_y,850000,3.0318196697084046e-06,3.354670828855683e-07,7.945509633450979e-06,7.645032217694587e-07,1.2648434762889425e-05,1.0473934870815353e-06,0.8365623226143994
