model,N_train,mean_acc,sem_acc,mean_bal_acc,sem_bal_acc,mean_auc,sem_auc
extratrees,1000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5011901581063162,0.0022538356835054
extratrees,3000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5016839859835028,0.001527693855142
extratrees,10000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5001178256978066,0.0001778470169352
extratrees,30000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5006221457821199,0.0014758627067337
extratrees,100000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5007237187450336,0.0011197811026801
extratrees,300000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.4993235295723786,0.0006141854421648
extratrees,850000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5002725413883683,0.0009203058987592
hgb,1000,0.72256,0.0025437439598617,0.5000962319051273,0.0003618941058883,0.4999784838932634,0.0010722536128915
hgb,3000,0.72809,0.0008575740978675,0.4998460602308343,0.0005654008994882,0.4995889106363309,0.0018778854240806
hgb,10000,0.7312600000000001,0.0001652271164185,0.5000826681612643,9.96784421227281e-05,0.5010685010674388,0.0007744181122586
hgb,30000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.500483085642416,0.0001478251206314
hgb,100000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.502324024944509,0.0009535414653918
hgb,300000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.5003037973168621,0.002044646371412
hgb,850000,0.7335699999999999,7.850462293418875e-17,0.5,0.0,0.4993971196494429,0.0007403576581888
logreg_onehot,1000,0.5875833333333333,0.005281667455559,0.5010208292721002,0.0014705754340618,0.5013780736647214,0.0019263889488468
logreg_onehot,3000,0.54054,0.0039436193190181,0.5013823376081925,0.0005346853411041,0.5012272360461816,0.0007051601839184
logreg_onehot,10000,0.5225633333333333,0.0012256336229794,0.5002953861720223,0.0010443567491302,0.5006838282499991,0.001386018055349
logreg_onehot,30000,0.5144866666666666,0.0003692484860422,0.5008851879960746,0.0002299783385741,0.5010745042891597,0.000112200061628
logreg_onehot,100000,0.50815,0.0004578573285788,0.5011910378932205,0.00065447245818,0.500933988923758,0.0006068452304082
logreg_onehot,300000,0.5027833333333334,0.0012449542606502,0.4987441290518142,0.0009918278973778,0.4987514515701519,0.00118349645822
logreg_onehot,850000,0.50345,0.0,0.4998239464284097,0.0,0.4978903408439316,0.0
