model,N_train,seed,train_frac_static,test_acc,test_bal_acc,test_auc,train_load_s,fit_eval_s
logreg_onehot,1000,0,0.249,0.59287,0.5038275002640371,0.5052304666878216,0.18712997436523438,0.4328739643096924
extratrees,1000,0,0.249,0.73357,0.5,0.5044555706439052,0.18712997436523438,0.4765655994415283
hgb,1000,0,0.249,0.72546,0.5000054002389545,0.5008736652350331,0.18712997436523438,44.18382477760315
logreg_onehot,1000,1,0.26,0.59286,0.5003788903738808,0.4994047163283795,0.2055208683013916,0.3981590270996094
extratrees,1000,1,0.26,0.73357,0.5,0.4968663300297537,0.2055208683013916,0.42417192459106445
hgb,1000,1,0.26,0.72473,0.49951978421786125,0.49784324064999075,0.2055208683013916,44.19853591918945
logreg_onehot,1000,2,0.284,0.57702,0.49885609717838286,0.49949903797796313,0.20395398139953613,0.40416383743286133
extratrees,1000,2,0.284,0.73357,0.5,0.5022485736452895,0.20395398139953613,0.4322037696838379
hgb,1000,2,0.284,0.71749,0.5007635112585664,0.5012185457947664,0.20395398139953613,44.01852488517761
logreg_onehot,3000,0,0.26266666666666666,0.53316,0.5013475242434005,0.5013054648523568,0.20538330078125,0.4038980007171631
extratrees,3000,0,0.26266666666666666,0.73357,0.5,0.4986338651552817,0.20538330078125,0.4841349124908447
hgb,3000,0,0.26266666666666666,0.72906,0.5001765752015692,0.503138864524795,0.20538330078125,48.66583275794983
logreg_onehot,3000,1,0.26033333333333336,0.54664,0.5023253555827619,0.5024076145071015,0.20821094512939453,0.40954113006591797
extratrees,3000,1,0.26033333333333336,0.73357,0.5,0.5030537475081915,0.20821094512939453,0.48151612281799316
hgb,3000,1,0.26033333333333336,0.72883,0.5006173412775179,0.4988758807436311,0.20821094512939453,47.73357391357422
logreg_onehot,3000,2,0.2613333333333333,0.54182,0.5004741329984153,0.4999686287790865,0.20538091659545898,0.41175293922424316
extratrees,3000,2,0.2613333333333333,0.73357,0.5,0.5033643452870351,0.20538091659545898,0.48256897926330566
hgb,3000,2,0.2613333333333333,0.72638,0.4987442642134158,0.4967519866405666,0.20538091659545898,50.703852891922
logreg_onehot,10000,0,0.2704,0.52105,0.4990926078947904,0.4981679994420079,0.20747113227844238,0.44164180755615234
extratrees,10000,0,0.2704,0.73357,0.5,0.5001822379183847,0.20747113227844238,0.7369420528411865
hgb,10000,0,0.2704,0.73156,0.5001477231029725,0.4997246348853776,0.20747113227844238,54.68901705741882
logreg_onehot,10000,1,0.267,0.52499,0.5023756385126369,0.5029497566449304,0.207960844039917,0.43636202812194824
extratrees,10000,1,0.267,0.73357,0.5,0.4997826724243381,0.207960844039917,0.723952054977417
hgb,10000,1,0.267,0.73123,0.4998869436733066,0.5010735848491672,0.207960844039917,55.952956199645996
logreg_onehot,10000,2,0.2729,0.52165,0.4994179121086395,0.500933728663059,0.20802927017211914,0.44519495964050293
extratrees,10000,2,0.2729,0.73357,0.5,0.5003885667506971,0.20802927017211914,0.7281429767608643
hgb,10000,2,0.2729,0.73099,0.5002133377075141,0.5024072834677719,0.20802927017211914,52.056034088134766
logreg_onehot,30000,0,0.2643666666666667,0.51433,0.5006549139855931,0.5010434229195293,0.21214890480041504,0.5268280506134033
extratrees,30000,0,0.2643666666666667,0.73357,0.5,0.502942190324057,0.21214890480041504,1.7084989547729492
hgb,30000,0,0.2643666666666667,0.73357,0.5,0.5006657490000626,0.21214890480041504,1.4449498653411865
logreg_onehot,30000,1,0.2672333333333333,0.51394,0.5013451445464583,0.5012825080167506,0.20947003364562988,0.5012569427490234
extratrees,30000,1,0.2672333333333333,0.73357,0.5,0.5010424896649125,0.20947003364562988,1.6525931358337402
hgb,30000,1,0.2672333333333333,0.73357,0.5,0.5005930804948772,0.20947003364562988,1.4416940212249756
logreg_onehot,30000,2,0.2644,0.51519,0.5006555054561725,0.5008975819311993,0.20836806297302246,0.5030088424682617
extratrees,30000,2,0.2644,0.73357,0.5,0.49788175735739043,0.20836806297302246,1.691418170928955
hgb,30000,2,0.2644,0.73357,0.5,0.500190427432308,0.20836806297302246,3.4932563304901123
logreg_onehot,100000,0,0.26772,0.5089,0.5016265489543205,0.5018447570843658,0.22132277488708496,0.9340109825134277
extratrees,100000,0,0.26772,0.73357,0.5,0.5028900539320935,0.22132277488708496,5.782599925994873
hgb,100000,0,0.26772,0.73357,0.5,0.5025754714016297,0.22132277488708496,1.5365681648254395
logreg_onehot,100000,1,0.26699,0.50823,0.5020422773029267,0.5011733417859185,0.22281599044799805,0.9151759147644043
extratrees,100000,1,0.26699,0.73357,0.5,0.49914864359236477,0.22281599044799805,5.691884994506836
hgb,100000,1,0.26699,0.73357,0.5,0.5005611380136678,0.22281599044799805,2.2520511150360107
logreg_onehot,100000,2,0.2655,0.50732,0.49990428742241433,0.4997838679009894,0.22400188446044922,0.9588253498077393
extratrees,100000,2,0.2655,0.73357,0.5,0.5001324587106425,0.22400188446044922,5.695616960525513
hgb,100000,2,0.2655,0.73357,0.5,0.5038354654182294,0.22400188446044922,1.5261728763580322
logreg_onehot,300000,0,0.2671766666666667,0.50227,0.49842212687426546,0.4984513031048797,0.25954604148864746,2.140113115310669
extratrees,300000,0,0.2671766666666667,0.73357,0.5,0.498845799143475,0.25954604148864746,21.129009246826172
hgb,300000,0,0.2671766666666667,0.73357,0.5,0.5001307582327266,0.25954604148864746,2.842822790145874
logreg_onehot,300000,1,0.26675,0.50515,0.5006002418425985,0.5009348542991099,0.257983922958374,2.1550991535186768
extratrees,300000,1,0.26675,0.73357,0.5,0.4985823430024452,0.257983922958374,21.20648217201233
hgb,300000,1,0.26675,0.73357,0.5,0.4968520574762805,0.257983922958374,2.6569879055023193
logreg_onehot,300000,2,0.26715666666666665,0.50093,0.4972100184385786,0.4968681973064664,0.26418280601501465,2.3842320442199707
extratrees,300000,2,0.26715666666666665,0.73357,0.5,0.5005424465712155,0.26418280601501465,20.818212032318115
hgb,300000,2,0.26715666666666665,0.73357,0.5,0.5039285762415793,0.26418280601501465,1.9171340465545654
logreg_onehot,850000,0,0.2666129411764706,0.50345,0.49982394642840977,0.49789034084393163,0.36380696296691895,6.0004541873931885
extratrees,850000,0,0.2666129411764706,0.73357,0.5,0.5020689208524263,0.36380696296691895,71.9130220413208
hgb,850000,0,0.2666129411764706,0.73357,0.5,0.49998692573726833,0.36380696296691895,2.7933456897735596
logreg_onehot,850000,1,0.2666129411764706,0.50345,0.49982394642840977,0.49789034084393163,0.3672652244567871,5.847541093826294
extratrees,850000,1,0.2666129411764706,0.73357,0.5,0.4997217051617286,0.3672652244567871,71.29440593719482
hgb,850000,1,0.2666129411764706,0.73357,0.5,0.500278432984514,0.3672652244567871,3.1182029247283936
logreg_onehot,850000,2,0.2666129411764706,0.50345,0.49982394642840977,0.49789034084393163,0.3720059394836426,5.91235876083374
extratrees,850000,2,0.2666129411764706,0.73357,0.5,0.49902699815094986,0.3720059394836426,71.4651951789856
hgb,850000,2,0.2666129411764706,0.73357,0.5,0.49792600022654654,0.3720059394836426,3.285435199737549
