model,N_train,seed,frac_static_train,scale_pos_weight,best_iteration,auc_val,thr_val_bestbal,balacc_val_at_thr,auc_test,acc_test_at_thr,balacc_test_at_thr,frac_pred_pos_test_at_thr,fit_eval_seconds
xgboost_onehot,10000,0,0.2614,2.8255547054322876,2,0.4991544368907067,0.44637930393218994,0.5019939636450024,0.5006294495398569,0.57331,0.498837009205049,0.34112,2.0834028720855713
xgboost_onehot,10000,1,0.2698,2.7064492216456633,164,0.4994412686887031,0.39245349168777466,0.5022242609247851,0.4968444348736045,0.54297,0.49867662551059344,0.4058,3.6161720752716064
xgboost_onehot,10000,2,0.2664,2.7537537537537538,49,0.5012636914749578,0.3992368280887604,0.5028793746400233,0.5014549564830613,0.49199,0.4998166205843291,0.51684,2.483794927597046
xgboost_onehot,30000,0,0.26766666666666666,2.7359900373599,23,0.4988557068335957,0.40179696679115295,0.501963186326876,0.4988942096801098,0.31757,0.49942318622519094,0.88956,2.3730320930480957
xgboost_onehot,30000,1,0.26666666666666666,2.75,7,0.49960516705554237,0.47464901208877563,0.503435781389677,0.500524499583515,0.53542,0.49878885526226857,0.42215,2.209897994995117
xgboost_onehot,30000,2,0.2654,2.7678975131876413,19,0.5002150976755798,0.5024791955947876,0.5050091081346314,0.4981953759340725,0.62845,0.49938519805508247,0.224,2.323704719543457
xgboost_onehot,100000,0,0.26776,2.7346877801015834,68,0.4976522842185557,0.5211169123649597,0.5037308208113151,0.5012620871880017,0.6725,0.500130449706118,0.13095,3.4285027980804443
xgboost_onehot,100000,1,0.26544,2.767329716696805,3,0.4962320451549849,0.39826101064682007,0.5003910874220899,0.5022016509948529,0.26697,0.4999975921621565,0.99884,2.7157552242279053
xgboost_onehot,100000,2,0.26551,2.7663364845015255,68,0.4985623668728527,0.4475838840007782,0.5035583295961457,0.4964356790728547,0.32599,0.4995334760454628,0.87172,3.416485071182251
xgboost_onehot,300000,0,0.26764,2.7363622776864447,3,0.4998543118851936,0.5026932954788208,0.5028473776131204,0.4982876115753926,0.56762,0.497097885900926,0.35039,4.526937246322632
xgboost_onehot,300000,1,0.26533666666666667,2.7687968744111253,101,0.49913404640923587,0.48439130187034607,0.5020057053748239,0.49738765531960494,0.41014,0.49825996237241205,0.68945,5.857461214065552
xgboost_onehot,300000,2,0.26572666666666667,2.763265510926014,12,0.4989161434034702,0.48119693994522095,0.5025070544703074,0.4971355146349773,0.35624,0.4986884127108315,0.80555,4.64688777923584
xgboost_onehot,850000,0,0.2666129411764706,2.7507556669505475,4,0.5001765426811554,0.49254751205444336,0.5022581363032038,0.4987677818204365,0.39171,0.49884384795571124,0.72988,10.106833934783936
xgboost_onehot,850000,1,0.2666129411764706,2.7507556669505475,0,0.4965870078523875,0.5076074600219727,0.5022977280500883,0.4988372386813075,0.65041,0.49872161411363336,0.17588,9.70077109336853
xgboost_onehot,850000,2,0.2666129411764706,2.7507556669505475,206,0.502085095202661,0.5005472302436829,0.5042121992084317,0.4981288147719425,0.54083,0.49774383496285246,0.40882,14.767751932144165
