chunk_file,chunk_size,frac_static(label=1)
v251209_chunk_0000.npz,10000,0.2642
v251209_chunk_0001.npz,10000,0.269
v251209_chunk_0002.npz,10000,0.2649
v251209_chunk_0003.npz,10000,0.267
v251209_chunk_0004.npz,10000,0.2681
v251209_chunk_0005.npz,10000,0.2658
v251209_chunk_0006.npz,10000,0.2725
v251209_chunk_0007.npz,10000,0.2666
v251209_chunk_0008.npz,10000,0.2699
v251209_chunk_0009.npz,10000,0.2676
v251209_chunk_0010.npz,10000,0.2607
v251209_chunk_0011.npz,10000,0.2682
v251209_chunk_0012.npz,10000,0.2605
v251209_chunk_0013.npz,10000,0.27
v251209_chunk_0014.npz,10000,0.2668
v251209_chunk_0015.npz,10000,0.2658
v251209_chunk_0016.npz,10000,0.2684
v251209_chunk_0017.npz,10000,0.2668
v251209_chunk_0018.npz,10000,0.2603
v251209_chunk_0019.npz,10000,0.2653
v251209_chunk_0020.npz,10000,0.2721
v251209_chunk_0021.npz,10000,0.2675
v251209_chunk_0022.npz,10000,0.2654
v251209_chunk_0023.npz,10000,0.2691
v251209_chunk_0024.npz,10000,0.2641
v251209_chunk_0025.npz,10000,0.2673
v251209_chunk_0026.npz,10000,0.2655
v251209_chunk_0027.npz,10000,0.2579
v251209_chunk_0028.npz,10000,0.2584
v251209_chunk_0029.npz,10000,0.267
v251209_chunk_0030.npz,10000,0.2645
v251209_chunk_0031.npz,10000,0.2616
v251209_chunk_0032.npz,10000,0.2673
v251209_chunk_0033.npz,10000,0.2671
v251209_chunk_0034.npz,10000,0.271
v251209_chunk_0035.npz,10000,0.2685
v251209_chunk_0036.npz,10000,0.2658
v251209_chunk_0037.npz,10000,0.2675
v251209_chunk_0038.npz,10000,0.2699
v251209_chunk_0039.npz,10000,0.2662
v251209_chunk_0040.npz,10000,0.2697
v251209_chunk_0041.npz,10000,0.2731
v251209_chunk_0042.npz,10000,0.266
v251209_chunk_0043.npz,10000,0.2684
v251209_chunk_0044.npz,10000,0.2673
v251209_chunk_0045.npz,10000,0.2645
v251209_chunk_0046.npz,10000,0.2672
v251209_chunk_0047.npz,10000,0.2634
v251209_chunk_0048.npz,10000,0.2707
v251209_chunk_0049.npz,10000,0.2716
v251209_chunk_0050.npz,10000,0.2611
v251209_chunk_0051.npz,10000,0.2716
v251209_chunk_0052.npz,10000,0.2719
v251209_chunk_0053.npz,10000,0.2671
v251209_chunk_0054.npz,10000,0.2678
v251209_chunk_0055.npz,10000,0.2569
v251209_chunk_0056.npz,10000,0.267
v251209_chunk_0057.npz,10000,0.2647
v251209_chunk_0058.npz,10000,0.265
v251209_chunk_0059.npz,10000,0.265
v251209_chunk_0060.npz,10000,0.2731
v251209_chunk_0061.npz,10000,0.2653
v251209_chunk_0062.npz,10000,0.2721
v251209_chunk_0063.npz,10000,0.266
v251209_chunk_0064.npz,10000,0.2759
v251209_chunk_0065.npz,10000,0.2715
v251209_chunk_0066.npz,10000,0.2548
v251209_chunk_0067.npz,10000,0.2729
v251209_chunk_0068.npz,10000,0.2697
v251209_chunk_0069.npz,10000,0.2656
v251209_chunk_0070.npz,10000,0.2683
v251209_chunk_0071.npz,10000,0.266
v251209_chunk_0072.npz,10000,0.2712
v251209_chunk_0073.npz,10000,0.2701
v251209_chunk_0074.npz,10000,0.2774
v251209_chunk_0075.npz,10000,0.2731
v251209_chunk_0076.npz,10000,0.263
v251209_chunk_0077.npz,10000,0.2654
v251209_chunk_0078.npz,10000,0.2651
v251209_chunk_0079.npz,10000,0.2689
v251209_chunk_0080.npz,10000,0.2671
v251209_chunk_0081.npz,10000,0.2618
v251209_chunk_0082.npz,10000,0.2648
v251209_chunk_0083.npz,10000,0.2701
v251209_chunk_0084.npz,10000,0.2606
v251209_chunk_0085.npz,10000,0.2642
v251209_chunk_0086.npz,10000,0.2634
v251209_chunk_0087.npz,10000,0.2653
v251209_chunk_0088.npz,10000,0.2666
v251209_chunk_0089.npz,10000,0.2725
v251209_chunk_0090.npz,10000,0.2647
v251209_chunk_0091.npz,10000,0.2692
v251209_chunk_0092.npz,10000,0.2663
v251209_chunk_0093.npz,10000,0.2688
v251209_chunk_0094.npz,10000,0.2624
v251209_chunk_0095.npz,10000,0.2657
v251209_chunk_0096.npz,10000,0.261
v251209_chunk_0097.npz,10000,0.27
v251209_chunk_0098.npz,10000,0.2594
v251209_chunk_0099.npz,10000,0.2614
